!银行业
sh601818,光大银行
sh600015,华夏银行
sh600036,招商银行
sh601328,交通银行 
sh601288,农业银行
sz000001,平安银行
sz002142,宁波银行
!酒业
sh600519,贵州茅台
sh600809,山西汾酒
sz000858,五粮液
sz000596,古井贡酒
sh600779,水井坊
sh600600,青岛啤酒
sz000568,泸州老窖
!新能源
sz000862,银星能源
sz002202,金风科技
sh600875,东方电气
sz000777,中核科技
sh600151,航天机电
!煤炭
sh600508,上海能源
sh600395,盘江股份
sz000552,靖远煤电
sz000683,远兴能源
sz000780,平庄能源
sh601225,陕西煤业
